location,epi_year,epi_week,last_day_of_epi_week,complete_epi_week,vaccine_dose,vaccinations_epi_week,total_vaccinations,pct_total_population
Peru,2022,43,2022-10-29,1,2,11842,28303697,83.65650279325976
Peru,2022,43,2022-10-29,1,3,52503,21441081,63.37284675450733
Peru,2022,43,2022-10-29,1,4,80128,5494132,16.238863389632026
Peru,2022,44,2022-11-05,1,1,24550,30028485,88.75441392973713
Peru,2022,44,2022-11-05,1,2,8177,28311874,83.68067133998143
Peru,2022,44,2022-11-05,1,3,31758,21472839,63.466713051044785
Peru,2022,44,2022-11-05,1,4,58107,5552239,16.41060874176069
Peru,2022,45,2022-11-12,1,1,31876,30060361,88.8486289958127
Peru,2022,45,2022-11-12,1,2,12811,28324685,83.7185364802592
Peru,2022,45,2022-11-12,1,3,41899,21514738,63.590552838141676
Peru,2022,45,2022-11-12,1,4,90077,5642316,16.676846993325793
Peru,2022,46,2022-11-19,1,1,36436,30096797,88.95632193556453
Peru,2022,46,2022-11-19,1,2,17809,28342494,83.77117407944793
Peru,2022,46,2022-11-19,1,3,56103,21570841,63.756375019470504
Peru,2022,46,2022-11-19,1,4,127906,5770222,17.054895438596905
Peru,2022,47,2022-11-26,1,1,35257,30132054,89.06053013560928
Peru,2022,47,2022-11-26,1,2,21569,28364063,83.83492501307147
Peru,2022,47,2022-11-26,1,3,58018,21628859,63.92785731660855
Peru,2022,47,2022-11-26,1,4,128365,5898587,17.4343005382578
Peru,2022,48,2022-12-03,1,1,30301,30162355,89.15009001505325
Peru,2022,48,2022-12-03,1,2,18731,28382794,83.89028774373597
Peru,2022,48,2022-12-03,1,3,52299,21681158,64.0824361138443
Peru,2022,48,2022-12-03,1,4,143725,6042312,17.859104791354536
Peru,2022,49,2022-12-10,1,1,21303,30183658,89.213054739379
Peru,2022,49,2022-12-10,1,2,14253,28397047,83.93241496599644
Peru,2022,49,2022-12-10,1,3,34375,21715533,64.18403740937534
Peru,2022,49,2022-12-10,1,4,96618,6138930,18.144676106892543
Peru,2022,50,2022-12-17,1,1,24348,30208006,89.28501949119253
Peru,2022,50,2022-12-17,1,2,19581,28416628,83.99029001960498
Peru,2022,50,2022-12-17,1,3,37770,21753303,64.29567321831229
Peru,2022,50,2022-12-17,1,4,75793,6214723,18.36869551030156
Peru,2022,51,2022-12-24,1,1,19254,30227260,89.34192803938613
Peru,2022,51,2022-12-24,1,2,16665,28433293,84.03954632767844
Peru,2022,51,2022-12-24,1,3,29585,21782888,64.38311683513516
Peru,2022,51,2022-12-24,1,4,45930,6260653,18.5044496195013
Peru,2022,52,2022-12-31,1,1,11678,30238938,89.3764444009632
Peru,2022,52,2022-12-31,1,2,12027,28445320,84.07509421949959
Peru,2022,52,2022-12-31,1,3,14786,21797674,64.42681943166527
Peru,2022,52,2022-12-31,1,4,28615,6289268,18.58902623249391
Peru,2023,1,2023-01-07,1,1,13460,30252398,89.41622777370058
Peru,2023,1,2023-01-07,1,2,11410,28456730,84.10881846043077
Peru,2023,1,2023-01-07,1,3,16519,21814193,64.47564421132715
Peru,2023,1,2023-01-07,1,4,41056,6330324,18.71037438636512
Peru,2023,1,2023-01-07,1,5,18451,18451,0.05453514192999013
Peru,2023,2,2023-01-14,1,1,15878,30268276,89.46315796629527
Peru,2023,2,2023-01-14,1,2,13458,28470188,84.14859592182006
Peru,2023,2,2023-01-14,1,3,18876,21833069,64.53143551472915
Peru,2023,2,2023-01-14,1,4,47093,6377417,18.84956594448712
Peru,2023,2,2023-01-14,1,5,40197,58648,0.17334437179069218
Peru,2023,3,2023-01-21,1,1,15551,30283827,89.509121653475
Peru,2023,3,2023-01-21,1,2,13158,28483346,84.1874866809938
Peru,2023,3,2023-01-21,1,3,16973,21850042,64.58160217041058
Peru,2023,3,2023-01-21,1,4,43800,6421217,18.979024467956503
Peru,2023,3,2023-01-21,1,5,45378,104026,0.30746694891383414
Peru,2023,4,2023-01-28,1,1,16095,30299922,89.55669322733893
Peru,2023,4,2023-01-28,1,2,13483,28496829,84.22733803423439
Peru,2023,4,2023-01-28,1,3,18498,21868540,64.636276229020993
Peru,2023,4,2023-01-28,1,4,44273,6465490,19.109881025252392
Peru,2023,4,2023-01-28,1,5,83298,187324,0.5536686860817013
Peru,2023,5,2023-02-04,1,1,12691,30312613,89.59420368673047
Peru,2023,5,2023-02-04,1,2,10216,28507045,84.25753320034771
Peru,2023,5,2023-02-04,1,3,15900,21884440,64.6832714464448
Peru,2023,5,2023-02-04,1,4,36057,6501547,19.216453764538592
Peru,2023,5,2023-02-04,1,5,87801,275125,0.8131798235048797
Peru,2023,6,2023-02-11,1,1,14353,30326966,89.63662647639613
Peru,2023,6,2023-02-11,1,2,12341,28519386,84.29400917382112
Peru,2023,6,2023-02-11,1,3,18072,21902512,64.73668638790916
Peru,2023,6,2023-02-11,1,4,40242,6541789,19.335395999731624
Peru,2023,6,2023-02-11,1,5,89991,365116,1.079163887101527
Peru,2023,7,2023-02-18,1,1,14990,30341956,89.6809320304328
Peru,2023,7,2023-02-18,1,2,12752,28532138,84.33169992932983
Peru,2023,7,2023-02-18,1,3,18088,21920600,64.79014862015835
Peru,2023,7,2023-02-18,1,4,36033,6577822,19.44189780284058
Peru,2023,7,2023-02-18,1,5,78883,443999,1.3123163233306427
Peru,2023,8,2023-02-25,1,1,16809,30358765,89.73061395556972
Peru,2023,8,2023-02-25,1,2,14075,28546213,84.3733010416091
Peru,2023,8,2023-02-25,1,3,20193,21940793,64.84983254628659
Peru,2023,8,2023-02-25,1,4,38397,6616219,19.55538681940802
Peru,2023,8,2023-02-25,1,5,82405,526404,1.5558786435702414
Peru,2023,9,2023-03-04,1,1,13604,30372369,89.77082294537057
Peru,2023,9,2023-03-04,1,2,11653,28557866,84.40774351133486
Peru,2023,9,2023-03-04,1,3,16102,21956895,64.89742480986888
Peru,2023,9,2023-03-04,1,4,29371,6645590,19.6421979219838
Peru,2023,9,2023-03-04,1,5,66334,592738,1.7519403261231636
Peru,2023,10,2023-03-11,1,1,12952,30385321,89.80910483568965
Peru,2023,10,2023-03-11,1,2,10342,28568208,84.43831109237871
Peru,2023,10,2023-03-11,1,3,15700,21972595,64.94382889248233
Peru,2023,10,2023-03-11,1,4,31556,6677146,19.735467172362792
Peru,2023,10,2023-03-11,1,5,86098,678836,2.0064179506361053
Peru,2023,11,2023-03-18,1,1,12758,30398079,89.84681332524266
Peru,2023,11,2023-03-18,1,2,10628,28578836,84.46972399620137
Peru,2023,11,2023-03-18,1,3,15339,21987934,64.98916597676308
Peru,2023,11,2023-03-18,1,4,32399,6709545,19.83122805596746
Peru,2023,11,2023-03-18,1,5,76999,755835,2.2340018969516064
Peru,2023,12,2023-03-25,1,1,13192,30411271,89.88580457733417
Peru,2023,12,2023-03-25,1,2,10868,28589704,84.50184626179646
Peru,2023,12,2023-03-25,1,3,15069,22003003,65.03370502904984
Peru,2023,12,2023-03-25,1,4,34356,6743901,19.932773193691528
Peru,2023,12,2023-03-25,1,5,78102,833937,2.4648459517462564
Peru,2023,13,2023-04-01,1,1,11440,30422711,89.9196174884869
Peru,2023,13,2023-04-01,1,2,9605,28599309,84.53023551106412
Peru,2023,13,2023-04-01,1,3,13675,22016678,65.07412387170838
Peru,2023,13,2023-04-01,1,4,30242,6774143,20.02215868836644
Peru,2023,13,2023-04-01,1,5,63133,897070,2.6514465216593273
Peru,2023,14,2023-04-08,1,1,8093,30430804,89.94353775858823
Peru,2023,14,2023-04-08,1,2,6426,28605735,84.54922867252107
Peru,2023,14,2023-04-08,1,3,10299,22026977,65.10456435876799
Peru,2023,14,2023-04-08,1,4,19714,6793857,20.080426846623865
Peru,2023,14,2023-04-08,1,5,41723,938793,2.774766110123095
Peru,2023,15,2023-04-15,1,1,14206,30445010,89.98552606416827
Peru,2023,15,2023-04-15,1,2,10753,28616488,84.58101103560021
Peru,2023,15,2023-04-15,1,3,16476,22043453,65.15326204444565
Peru,2023,15,2023-04-15,1,4,29434,6823291,20.16742415666491
Peru,2023,15,2023-04-15,1,5,65340,1004133,2.9678898526685153
Peru,2023,16,2023-04-22,1,1,15154,30460164,90.03031634874944
